string,uz_UZ,ru_RU,en_EN,uz_UZK
how_to_add_favorite_posts,Sevimli postlarni qo’shish uchun o’zingizga ma’qul bo’lgan postni o’qish jarayonida yurakcha tugmachasini bosib qo’ying,"Чтобы добавить пост в избранное, нажмите на значок сердца во время чтения понравившегося поста","To add a post to favorites, tap the heart icon while reading a post you like",Севимли постларни қўшиш учун ўзингизга маъқул бўлган постни ўқиш жараёнида юракча тугмачасини босиб қўйинг
go_back_to_home,Asosiy sahifaga qaytish,Вернуться на главную страницу,Go back to home,Асосий саҳифага қайтиш
sort_by_time_asc,Vaqt bo’yicha o’sish,По возрастанию времени,Sort by time ascending,Вақт бўйича ўсиш
january,Yanvar,Январь,January,Январ
february,Fevral,Февраль,February,Феврал
march,Mart,Март,March,Март
april,Aprel,Апрель,April,Апрел
may,May,Май,May,Май
june,Iyun,Июнь,June,Июн
july,Iyul,Июль,July,Июль
august,Avgust,Август,August,Август
september,Sentabr,Сентябрь,September,Сентябр
october,Oktabr,Октябрь,October,Октабр
november,Noyabr,Ноябрь,November,Ноябр
december,Dekabr,Декабрь,December,Декабр
select_year,Yilni tanlang,Выберите год,Select year,Йилни танланг
year,Yil,Год,Year,Йил
quiz_history,Viktorinalar tarixi,История викторин,Quiz history,Викториналар тарихи
individual_approach,Individual yondashuv va eksklyuziv materiallar,Индивидуальный подход,Individual approach,Индивидуал ёндашув ва эксклюзив материаллар
exclusive_materials,Eksklyuziv materiallar,Эксклюзивные материалы,Exclusive materials,Эксклюзив материаллар
ad_free_reading,Reklamalarsiz sayt mutolaasi,Чтение сайта без рекламы,Ad-free site reading,Рекламаларсиз сайт мутолааси
subscribe,Obuna bo'lish,Подписаться,Subscribe,Обуна бўлиш
per_month,Bir oyiga,В месяц,Per month,Бир ойига
latest_news,So‘nggi yangiliklar,Последние новости,Latest news,Сўнгги янгиликлар
view_all,Hammasini ko‘rish,Смотреть все,View all,Ҳаммасини кўриш
videos,Videolar,Видео,Videos,Видеолар
auto,Avto,Авто,Auto,Авто
daryo_shorts,Daryo Shorts,Daryo Shorts,Daryo Shorts,Дарё Шортс
suggestions,Tavsiyalar,Рекомендации,Suggestions,Тавсиялар
popular_tags,Mashhur teglar,Популярные теги,Popular tags,Машҳур теглар
world,Dunyo,Мир,World,Дунё
hot_news,Qaynoq xabarlar,Горячие новости,Hot news,Қайноқ хабарлар
search,Qidiruv,Поиск,Search,Қидирув
load_error,Yangi sahifani yuklashda xatolik yuz berdi. Iltimos qayta yuklang!,"При загрузке новой страницы произошла ошибка. Пожалуйста, перезагрузите!",An error occurred while loading the new page. Please reload!,Янги саҳифани юклашда хатолик юз берди. Илтимос қайта юкланг!
reload,Qayta yuklash,Перезагрузить,Reload,Қайта юклаш
home,Bosh sahifa,Главная страница,Home,Бош саҳифа
recommendations_btn_navigations,Tavsiyalar,Рекомендации,Recommendations,Тавсиялар
menu,Menyu,Меню,Menu,Меню
daryo_fm,Daryo FM,Daryo FM,Daryo FM,Дарё ФМ
recommendations,Tavsiyalar,Рекомендации,Recommendations,Тавсиялар
good_news,Yaxshi yangiliklar,Хорошие новости,Good news,Яхши янгиликлар
grow_with_us,Biznesingizni biz bilan rivojlantiring,Развивайте свой бизнес вместе с нами,Grow your business with us,Бизнесингизни биз билан ривожлантиринг
advertise_on_daryo,Daryo.uz da reklama bering,Размещайте рекламу на Daryo.uz,Advertise on Daryo.uz,Daryo.uz да реклама беринг
advertise,Reklama berish,Разместить рекламу,Advertise,Реклама бериш
social_media,Ijtimoiy tarmoqlar,Социальные сети,Social media,Ижтимоий тармоқлар
tags,Teglar,Теги,Tags,Теглар
data_load_error,Ma’lumotlar yuklashda xatolik yuz berdi,Произошла ошибка при загрузке данных,An error occurred while loading data,Маълумотлар юклашда хатолик юз берди
uzbekistan,O‘zbekiston,Узбекистан,Uzbekistan,Ўзбекистон
kyrgyzstan,Qirg‘iziston,Кыргызстан,Kyrgyzstan,Қирғизистон
kazakhstan,Qozog‘iston,Казахстан,Kazakhstan,Қозоғистон
turkmenistan,Turkmaniston,Туркменистан,Turkmenistan,Туркманистон
tajikistan,Tojikiston,Таджикистан,Tajikistan,Тожикистон
afghanistan,Afg‘oniston,Афганистан,Afghanistan,Афғонистон
error_not_issue,Xatolik — lekin bu muammo emas!,Ошибка — но это не проблема!,Error — but it’s not a problem!,Хатолик — лекин бу муаммо эмас!
something_went_wrong,"Biror narsa noto‘g‘ri ketdi, lekin biz uni tuzatamiz. Iltimos, qayta urinib ko‘ring.","Что-то пошло не так, но мы это исправим. Пожалуйста, попробуйте снова.","Something went wrong, but we’ll fix it. Please try again.","Бирор нарса нотўғри кетди, лекин биз уни тузатамиз. Илтимос, қайта уриниб кўринг."
daryo_unlimited,Daryo.uz cheksiz mutolaa uchun,Daryo.uz для неограниченного чтения,Daryo.uz for unlimited reading,Daryo.uz чексиз мутолаа учун
unlimited_access,"Cheksiz kirish imkoniyati bilan faktlar, ekspert tahlillari va fikrlari va boshqalardan xabardor bo‘ling.","Будьте в курсе фактов, экспертных анализов и мнений с неограниченным доступом.","Stay informed with unlimited access to facts, expert analyses, and opinions.","Чексиз кириш имконияти билан фактлар, эксперт таҳлиллари ва фикрлари ва бошқалардан хабардор бўлинг."
all_rights_reserved,Barcha huquqlar himoyalangan!,Все права защищены!,All rights reserved!,Барча ҳуқуқлар ҳимояланган!
common_start,Boshlash,Начать,Start,Бошлаш
bottom_navbar_feed,Tasma,Лента,Feed,Тасма
update_title,Yangi versiya tayyor!,Новая версия готова!,A new version is ready!,Янги версия тайёр!
update_desc,Eng so‘nggi imkoniyatlardan foydalanish uchun ilovani yangilang.,"Чтобы воспользоваться последними возможностями, обновите приложение.",Update the app to enjoy the latest features.,Энг сўнгги имкониятлардан фойдаланиш учун иловани янгиланг.
forse_update_title,Ilovada majburiy yangilanish!,Обновление приложения обязательно!,Mandatory app update!,Иловада мажбурий янгиланиш!
forse_update_desc,Ilovadan foydalanish uchun uning so‘nggi versiyasini yuklab olishingiz zarur.,Для использования приложения необходимо скачать его последнюю версию.,"To use the app, you must download its latest version.",Иловадан фойдаланиш учун унинг сўнгги версиясини юклаб олишингиз зарур.
in_progress_part,Ilovaning bu funksionalligi ustida ishlar olib borilmoqda. Tez orada ushbu funksionallikdan foydalanishingiz mumkin...,Над этой функциональностью приложения ведутся работы. Скоро вы сможете ей воспользоваться…,This feature of the app is currently under development. You’ll be able to use it soon…,Илованинг бу функционаллиги устида ишлар олиб борилмоқда. Тез орада ушбу функционалликдан фойдаланишингиз мумкин...
send_aplicaton_title,Sizning so’rovingiz yuborildi!,Ваш запрос отправлен!,Your request has been submitted!,Сизнинг сўровингиз юборилди!
send_aplicaton_desc,Bizning xodimlarimiz siz bilan yaqin vaqt ichida aloqaga chiqishadi,Наши сотрудники свяжутся с вами в ближайшее время.,Our team will contact you shortly.,Бизнинг ходимларимиз сиз билан яқин вақт ичида алоқага чиқишади
main_page,Asosiy sahifa,Главная страница,Home page,Асосий саҳифа
common_search,Qidirish,Поиск,Search,Қидириш
empty_data,Ma’lumotlar mavjud emas,Данные отсутствуют,No data available,Маълумотлар мавжуд эмас
editorial,Tahririyat,Редакция,Editorial,Таҳририят
faces_behind_content,Kontentimiz orqasida yuzlar,Лица за нашим контентом,Faces behind our content,Контентимиз орқасида юзлар
presented_by_sbd,SBD tomonidan taqdim etilgan,Предоставлено SBD,Presented by SBD,СБД томонидан тақдим этилган
locale_header,oz,uz,oz,uz
translate_tiitle,O‘zbekcha,Русский,English,Ўзбекча
uzbekistan_slug,uzbekistan,uzbekistan-r,uzbekistan-e,uzbekistan
qirgiziston_slug,qirgiziston,qirgiziston-r,qirgiziston-e,qirgiziston-c
qozogiston_slug,qozogiston,qozogiston-r,qozogiston,qozogiston-c
turkmaniston_slug,turkmaniston,turkmaniston-r,turkmaniston-e,turkmaniston-c
tojikiston_slug,tojikiston,tojikiston-r,tojikiston-e,tojikiston-c
afgoniston_slug,afgoniston,afgoniston-r,afgoniston-e,afgoniston-c
dunyo_slug,dunyo,dunyo-c,dunyo,dunyo-c
avto_slug,avto,avto-c,avto,avto-c
locale_header_v2,oz,ru,en,uz
